1	objective
2	negative
3	objective
4	negative
5	objective
6	negative
7	objective
8	objective
9	objective
10	negative
11	objective
12	negative
13	objective
14	objective
15	negative
16	negative
17	negative
18	objective
19	negative
20	negative
21	negative
22	objective
23	objective
24	objective
25	objective
26	objective
27	negative
28	objective
29	negative
30	negative
31	negative
32	negative
33	negative
34	objective
35	objective
36	negative
37	objective
38	objective
39	objective
40	objective
41	negative
42	negative
43	negative
44	objective
45	objective
46	objective
47	objective
48	objective
49	negative
50	negative
51	negative
52	objective
53	negative
54	negative
55	objective
56	objective
57	objective
58	objective
59	objective
60	objective
61	objective
62	objective
63	negative
64	negative
65	negative
66	negative
67	objective
68	negative
69	negative
70	negative
71	objective
72	negative
73	negative
74	negative
75	negative
76	negative
77	objective
78	negative
79	negative
83	objective
84	negative
85	negative
86	negative
87	objective
88	negative
89	negative
90	negative
91	negative
92	negative
93	objective
94	negative
95	negative
96	objective
97	objective
98	objective
99	objective
100	negative
101	negative
102	negative
103	objective
104	objective
105	objective
106	objective
107	objective
108	negative
109	negative
110	negative
111	negative
112	objective
113	negative
114	objective
115	negative
116	objective
117	objective
118	negative
119	negative
120	negative
121	negative
122	negative
123	positive
124	negative
125	negative
126	objective
127	negative
128	negative
129	objective
130	objective
131	negative
132	objective
133	objective
134	negative
135	negative
136	negative
137	negative
138	negative
139	objective
140	negative
141	negative
142	negative
143	negative
144	negative
145	objective
146	negative
147	negative
148	negative
149	objective
150	negative
151	negative
152	objective
153	negative
154	objective
155	objective
156	negative
157	negative
158	negative
159	objective
160	negative
161	negative
162	negative
163	objective
164	negative
165	negative
166	negative
167	objective
168	mixed
169	negative
170	negative
171	negative
172	objective
173	objective
174	objective
175	negative
176	negative
177	negative
178	negative
179	objective
180	objective
181	objective
182	objective
183	negative
184	negative
185	negative
186	objective
187	objective
188	objective
189	negative
190	negative
191	objective
192	objective
193	negative
194	negative
195	objective
196	objective
197	objective
198	negative
199	negative
200	objective
201	objective
202	negative
203	objective
204	negative
205	objective
206	negative
207	negative
208	objective
209	negative
210	negative
211	negative
212	objective
213	objective
214	objective
215	negative
216	negative
217	negative
218	negative
219	objective
220	negative
221	negative
222	objective
223	negative
224	negative
225	objective
226	objective
227	negative
228	objective
229	objective
230	objective
231	objective
232	negative
233	objective
